Graphics v 0.2.5 ';' exported '2021-12-21 11:41:00'
;Record #2;;;;;;
;Cycle #1;"";;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;
0.796667;45.4563;0;0;400.563;18.7831;22.5731;
0.8;45.4269;0;0;401.354;19.3091;22.579;
0.803333;45.4171;0;0;401.584;18.3611;22.5868;
0.806667;45.4269;0;0;398.063;18.897;22.5927;
0.81;45.4858;0;0;398.65;17.7605;22.5967;
0.813333;45.4661;0;0;398.471;18.2905;22.6006;
0.816667;45.4661;0;0;400.589;17.7939;22.6045;
0.82;45.4367;0;0;402.579;18.6026;22.6045;
0.823333;45.4465;0;0;399.951;19.1874;22.6104;
0.826667;45.4465;0;0;400.41;18.7733;22.6124;
0.83;45.4367;0;0;399.211;19.1973;22.6163;
0.833333;45.4073;0;0;400.589;18.2826;22.6163;
0.836667;45.4563;0;0;400.359;19.0363;22.6202;
0.84;45.4661;0;0;400.104;18.6026;22.6222;
0.843333;45.4465;0;0;397.527;18.4259;22.6241;
0.846667;45.4661;0;0;397.246;18.1178;22.6261;
0.85;45.4465;0;0;399.67;18.4769;22.6261;
0.853333;45.4661;0;0;401.967;18.9284;22.6281;
0.856667;45.4661;0;0;402.247;18.9598;22.6281;
0.86;45.4858;0;0;399.032;18.261;22.6281;
0.863333;45.5054;0;0;399.9;19.103;22.6281;
0.866667;45.4661;0;0;398.471;18.8185;22.6281;
0.87;45.5054;0;0;400.844;18.946;22.6281;
0.873333;45.4661;0;0;402.222;18.7596;22.63;
0.876667;45.4661;0;0;400.359;18.3042;22.63;
0.88;45.476;0;0;400.512;18.2767;22.63;
0.883333;45.4563;0;0;399.772;17.7488;22.632;
0.886667;45.4858;0;0;400.819;18.528;22.634;
0.89;45.4956;0;0;400.87;17.9058;22.634;
0.893333;45.5054;0;0;401.252;18.9186;22.632;
0.896667;45.4858;0;0;397.731;18.9009;22.63;
0.9;45.4956;0;0;398.675;18.4671;22.6241;
0.903333;45.4465;0;0;398.471;18.5339;22.6182;
0.906667;45.4661;0;0;400.87;17.9902;22.6143;
0.91;45.476;0;0;402.809;18.9696;22.6104;
0.913333;45.5152;0;0;400.767;18.3454;22.6084;
0.916667;45.5054;0;0;400.793;18.8871;22.6045;
0.92;45.5054;0;0;399.185;18.7242;22.6026;
0.923333;45.5054;0;0;400.691;18.8695;22.5908;
0.926667;45.476;0;0;400.691;19.0363;22.5829;
0.93;45.4661;0;0;400.461;18.4043;22.577;
0.933333;45.5054;0;0;398.241;18.5927;22.5711;
0.936667;45.4661;0;0;398.318;17.7115;22.5672;
0.94;45.4956;0;0;400.359;18.4004;22.5633;
0.943333;45.4563;0;0;402.63;17.9392;22.5594;
0.946667;45.5054;0;0;403.293;18.7988;22.5594;
0.95;45.4465;0;0;399.977;18.5633;22.5555;
0.953333;45.4661;0;0;400.078;18.7066;22.5555;
0.956667;45.476;0;0;397.629;18.3023;22.5555;
0.96;45.4563;0;0;399.492;19.1698;22.5535;
0.963333;45.5152;0;0;401.023;18.5378;22.5515;
0.966667;45.4858;0;0;399.466;18.7792;22.5535;
0.97;45.4858;0;0;399.517;18.3847;22.5574;
0.973333;45.4563;0;0;399.466;18.1747;22.5653;
0.976667;45.4563;0;0;401.252;18.1982;22.5692;
0.98;45.4956;0;0;401.89;17.9077;22.5731;
0.983333;45.5152;0;0;402.043;19.052;22.577;
0.986667;45.4956;0;0;397.629;18.3965;22.579;
0.99;45.4858;0;0;398.318;19.0422;22.581;
0.993333;45.5447;0;0;397.297;18.6045;22.5868;
0.996667;45.525;0;0;399.109;18.999;22.5927;
1;45.4956;0;0;401.405;18.5496;22.6006;
1.00333;45.5152;0;0;400.104;18.263;22.6065;
1.00667;45.5054;0;0;400.206;18.367;22.6124;
1.01;45.4956;0;0;399.568;17.8724;22.6143;
1.01333;45.525;0;0;400.359;18.7085;22.6182;
1.01667;45.5152;0;0;400.716;18.1943;22.6202;
1.02;45.4956;0;0;401.048;19.0128;22.6222;
1.02333;45.4858;0;0;399.721;18.6909;22.63;
1.02667;45.5152;0;0;399.874;18.5005;22.6359;
1.03;45.5054;0;0;400.895;18.2944;22.6418;
1.03333;45.4956;0;0;401.788;18.1433;22.6438;
1.03667;45.5054;0;0;402.834;18.9833;22.6457;
1.04;45.525;0;0;398.599;18.3768;22.6497;
1.04333;45.525;0;0;399.109;18.8695;22.6516;
1.04667;45.525;0;0;396.634;18.5535;22.6536;
1.05;45.4956;0;0;398.828;19.0363;22.6536;
1.05333;45.5054;0;0;400.844;18.7478;22.6555;
1.05667;45.4956;0;0;400.87;18.4279;22.6555;
1.06;45.5152;0;0;400.971;18.4691;22.6555;
1.06333;45.5152;0;0;400.181;17.9058;22.6595;
1.06667;45.5152;0;0;401.048;18.4495;22.6595;
1.07;45.5152;0;0;401.405;17.8077;22.6614;
1.07333;45.525;0;0;401.252;19.0069;22.6654;
1.07667;45.5054;0;0;397.17;18.6026;22.6693;
1.08;45.5348;0;0;398.012;18.8714;22.6732;
1.08333;45.5152;0;0;396.915;18.7674;22.6752;
1.08667;45.5152;0;0;399.466;18.524;22.6771;
1.09;45.476;0;0;400.487;18.8106;22.6791;
1.09333;45.5152;0;0;398.879;18.0687;22.6791;
1.09667;45.5152;0;0;399.823;18.685;22.6732;
1.1;45.5054;0;0;398.216;18.2728;22.6693;
1.10333;45.4956;0;0;399.543;19.0501;22.6673;
1.10667;45.525;0;0;399.185;18.8361;22.6634;
1.11;45.525;0;0;399.67;18.5849;22.6614;
1.11333;45.525;0;0;398.879;18.7792;22.6595;
1.11667;45.5054;0;0;399.032;17.894;22.6575;
1.12;45.5152;0;0;401.558;18.4377;22.6555;
1.12333;45.5348;0;0;403.6;17.9372;22.6516;
