Graphics v 0.2.5 ';' exported '2021-12-21 11:44:57'
;Record #0;;;;;;
;Cycle #1;"";;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;
0.713333;96.0922;0;0;398.879;15.0265;22.1354;
0.716667;96.0962;0;0;400.819;15.156;22.1335;
0.72;96.104;0;0;402.273;14.9401;22.1315;
0.723333;96.1256;0;0;401.329;14.7262;22.1354;
0.726667;96.1158;0;0;400.691;14.6477;22.1394;
0.73;96.1158;0;0;400.767;14.3238;22.1413;
0.733333;96.106;0;0;400.64;14.6634;22.1452;
0.736667;96.0981;0;0;400.971;14.263;22.1452;
0.74;96.0903;0;0;402.094;15.1717;22.1472;
0.743333;96.0864;0;0;398.42;14.8852;22.1492;
0.746667;96.0824;0;0;399.466;15.0461;22.157;
0.75;96.0805;0;0;398.854;14.9774;22.1688;
0.753333;96.0942;0;0;401.558;15.2738;22.1786;
0.756667;96.1158;0;0;402.094;14.8675;22.1865;
0.76;96.1099;0;0;401.201;14.9401;22.1923;
0.763333;96.1138;0;0;399.849;14.5162;22.1982;
0.766667;96.1099;0;0;399.925;14.4907;22.2022;
0.77;96.0942;0;0;400.563;14.5044;22.2041;
0.773333;96.0746;0;0;400.257;14.3709;22.2041;
0.776667;96.0844;0;0;400.155;14.897;22.2041;
0.78;96.0785;0;0;396.328;14.5221;22.2041;
0.783333;96.0766;0;0;397.374;15.1364;22.2041;
0.786667;96.0981;0;0;398.063;14.6654;22.2022;
0.79;96.104;0;0;401.074;15.3072;22.2041;
0.793333;96.104;0;0;402.604;14.8381;22.2041;
0.796667;96.106;0;0;401.482;15.2463;22.1923;
0.8;96.106;0;0;400.844;14.473;22.1825;
0.803333;96.0844;0;0;400.206;14.7046;22.1727;
0.806667;96.0922;0;0;401.967;14.3258;22.1668;
0.81;96.0805;0;0;401.482;14.5751;22.1609;
0.813333;96.0726;0;0;401.125;14.7537;22.157;
0.816667;96.0805;0;0;398.063;14.6241;22.1551;
0.82;96.1001;0;0;398.445;14.9931;22.157;
0.823333;96.106;0;0;398.981;14.8204;22.159;
0.826667;96.104;0;0;401.431;15.1384;22.1629;
0.83;96.1021;0;0;401.584;14.6889;22.1649;
0.833333;96.1021;0;0;399.849;15.3111;22.1688;
0.836667;96.0962;0;0;399.619;14.5476;22.1688;
0.84;96.0785;0;0;398.905;15.0559;22.1708;
0.843333;96.0746;0;0;399.339;14.3749;22.1708;
0.846667;96.0766;0;0;399.466;15.0187;22.1806;
0.85;96.0824;0;0;399.543;14.5123;22.1825;
0.853333;96.0942;0;0;397.246;14.7949;22.1865;
0.856667;96.0883;0;0;398.344;14.2689;22.1904;
0.86;96.0922;0;0;399.798;14.7125;22.1923;
0.863333;96.1001;0;0;402.12;14.9264;22.1923;
0.866667;96.1021;0;0;402.528;15.0324;22.1963;
